Date,Open,High,Low,Close,Shares Traded,Turnover(₹ Cr)
08-Feb-19,11184.25,11199.2,11076.15,11094.1,546054674,19035.8
11-Feb-19,11080.05,11080.05,10996.3,11030,456225793,17520.78
12-Feb-19,11022.9,11054,10963.1,10971.4,458531134,17395.71
13-Feb-19,11009.5,11028.85,10903.6,10923.9,474591263,18789.88
14-Feb-19,10914.1,10922.55,10856.9,10888.4,822641878,24158.81
15-Feb-19,10917,10921.65,10743.75,10845.85,713620118,24460.65
18-Feb-19,10857.9,10876.35,10749.75,10761.2,476725198,18020.43
19-Feb-19,10758.3,10846.15,10713.3,10731.1,466195624,17119.37
20-Feb-19,10781.45,10882.3,10778.3,10865.1,460390179,16685.85
21-Feb-19,10875.3,10940.8,10853.45,10925.05,438886110,17740.67
22-Feb-19,10920.45,10946.15,10901.05,10937.35,568898054,27522.36
25-Feb-19,10960.85,11029.05,10934.6,11021.75,609844710,20388.54
26-Feb-19,10917.85,11036.15,10866.2,10981.55,612226029,23263.28
27-Feb-19,11027.6,11097.5,10903.65,10961.8,575902937,22463.58
28-Feb-19,11019.6,11019.9,10948.35,10959.9,953836362,32234.27
01-Mar-19,11009.7,11053.2,10998,11040.55,569551987,19693.57
05-Mar-19,11043.95,11185.1,11001,11177.2,618761765,22508.93
06-Mar-19,11218.4,11257,11197.35,11246.2,625197484,22538.48
07-Mar-19,11270.55,11278.4,11219.55,11244.05,574079883,19271.89
08-Mar-19,11225.35,11236,11194.05,11225,520217347,17895.06
11-Mar-19,11260.65,11387.35,11251.75,11375.7,567377087,21697.57
12-Mar-19,11441,11521.85,11436.7,11499.95,638431960,26550.5
13-Mar-19,11525.35,11540.55,11472.9,11527.2,629811249,26315.81
14-Mar-19,11566.3,11569,11494.9,11522.9,469371485,19964.98
15-Mar-19,11554.85,11653.05,11550.6,11595.05,700551590,30266.47
18-Mar-19,11641.25,11693.9,11580.95,11629.75,510981209,20681.4
19-Mar-19,11668.55,11706.55,11621.15,11696.5,520328904,19891.03
20-Mar-19,11717.7,11719.6,11663.7,11681.3,692998518,22897.77
22-Mar-19,11706.4,11733.2,11592.95,11613.55,613637002,24404.36
25-Mar-19,11551.15,11551.15,11464.75,11504.75,496171258,17732.37
26-Mar-19,11527.25,11647.05,11510.15,11632.65,516908313,19283.94
27-Mar-19,11682,11698.45,11567.5,11595.65,617827236,23811.91
28-Mar-19,11614.3,11735.15,11603.7,11719.35,941030305,33369.7
29-Mar-19,11776.25,11794.85,11727.3,11789.2,887079071,27527.01
01-Apr-19,11834.85,11902.25,11809,11832.65,643705302,24219.44
02-Apr-19,11873.5,11876.1,11814,11861.4,641596176,23349.24
03-Apr-19,11886.5,11912.65,11780.55,11794.6,660309707,24526.15
04-Apr-19,11813.55,11814.4,11711,11753.5,648258414,24295.23
05-Apr-19,11794.05,11842.05,11767.1,11820.1,585478908,18917.33
08-Apr-19,11856.15,11862.25,11706.8,11760.1,611191962,19561.51
09-Apr-19,11768.3,11837.15,11721.3,11825.65,535902983,19837.97
10-Apr-19,11803.1,11835.6,11731.2,11743.9,592384227,26587.23
11-Apr-19,11752,11770.4,11713.95,11760,501921193,18518.99
12-Apr-19,11775.4,11820.25,11746.8,11807.85,468447694,17899.16
15-Apr-19,11833,11868.85,11812.25,11856.45,512056678,18839.79
16-Apr-19,11902,11972.5,11898,11950.05,621572520,22354.98
18-Apr-19,12013.7,12013.7,11894.65,11913.35,573791651,23222.46
22-Apr-19,11885.05,11885.05,11735.75,11745.9,434148269,17017.4
23-Apr-19,11765.5,11797.4,11716.5,11727.65,440462641,18553.38
24-Apr-19,11750.75,11883.2,11726.6,11869.55,530746090,21538.92
25-Apr-19,11880,11938.55,11770.2,11787.4,882694154,34145.95
26-Apr-19,11829.8,11894.85,11806.65,11886.7,517783419,22482.45
30-Apr-19,11879.75,11881.65,11782.65,11874.25,769626461,28420.69
02-May-19,11851.45,11915.2,11823.5,11845.6,641085374,23217.06
03-May-19,11843.35,11882.85,11814.05,11828.05,500002080,19919.95
06-May-19,11723.7,11748.6,11684.25,11708.85,469289620,18162.43
07-May-19,11760.9,11767.85,11597.35,11610.1,516723480,20655.95
08-May-19,11591.15,11591.45,11459,11470.8,750320961,21608.1
09-May-19,11435,11469.05,11368.6,11415.9,659627065,21179.8
10-May-19,11427.4,11456.6,11364.8,11391.85,750713890,21746.68
13-May-19,11371.2,11405.9,11228.05,11249.85,681360515,19973.15
14-May-19,11250.05,11388.9,11201.2,11318,822711342,24072.88
15-May-19,11363.45,11383.6,11232.4,11253.85,711657068,22169.86
16-May-19,11274.5,11365.1,11229.75,11341.6,681607759,21036.37
17-May-19,11344.7,11502.35,11340.55,11485.85,742572635,25805.52
20-May-19,11734.55,11919.5,11672.1,11903.95,799654524,30910.62
21-May-19,11940.55,11957.75,11759.65,11786.3,665336233,25996.89
22-May-19,11806.65,11855.1,11760.1,11811.3,651781719,23741.16
23-May-19,11974.75,12115.9,11704.75,11745.5,1019874149,38310.87
24-May-19,11832.9,11956.25,11755.9,11944.65,739232097,26438.57
27-May-19,11950.55,12052.7,11908.75,12023.75,683042290,24356.87
28-May-19,12059.95,12059.95,11970.25,12033.1,1058069075,38167.45
29-May-19,12014.85,12030.15,11939.6,11962.35,545315344,20626.02
30-May-19,11968.55,12059.65,11963.6,12038.2,875194923,25731.17
31-May-19,12092.45,12136.65,11935.9,12028.25,800233741,28620.56
03-Jun-19,12061.15,12204.05,12024.8,12190.85,561032903,22606.48
04-Jun-19,12155.8,12200.8,12108.15,12122.6,528209165,19745.19
06-Jun-19,12141.85,12141.85,11921.1,11932.95,673613170,26137.67
07-Jun-19,11951.65,11983,11854.25,11957.05,490196986,18786.77
10-Jun-19,12019.5,12058.6,11959.55,12006.85,492817086,16586.2
11-Jun-19,12042.45,12085.1,11984.1,12053.6,510749542,18892.92
12-Jun-19,12050,12050.05,11953.25,11989.2,443050034,17418.94
13-Jun-19,11960.05,12011.65,11897.15,11995.2,649688906,22507.39
14-Jun-19,11991.15,11992.95,11874.8,11899.35,558562993,19544.55
17-Jun-19,11916.4,11916.45,11729,11743,500376784,19985.01
18-Jun-19,11748.45,11797.45,11711.85,11761.65,557132144,20579.77
19-Jun-19,11814.05,11869.8,11686.95,11753.05,664908409,22742.7
20-Jun-19,11718.15,11913.1,11695.15,11901.15,650015464,22794.57
21-Jun-19,11893.6,11893.95,11783.85,11802.45,717435942,28523.61
24-Jun-19,11807.05,11833.85,11754.15,11782.95,451400585,16084.28
25-Jun-19,11762.4,11888.15,11732.65,11871.9,493749317,19801.89
26-Jun-19,11844.35,11953.05,11833.55,11928.85,547609782,19178.19
27-Jun-19,11941.9,11992.6,11912.1,11931.35,852288099,28750.47
28-Jun-19,11951.4,11961.5,11867.9,11882.1,494739651,19245.62
01-Jul-19,11932.85,11974.75,11925.7,11957.5,435729215,16002.36
02-Jul-19,11983.45,12008.2,11910.7,12001.6,500301904,16310.7
03-Jul-19,12025.2,12039.2,11981.45,12015.2,529062743,17906.98
04-Jul-19,12027,12066.75,12022.9,12044.8,621656629,19173.07
05-Jul-19,12063.9,12081.7,11888.6,11904.05,800017085,24446.34
08-Jul-19,11858.7,11860.05,11613.8,11650.35,676971875,23021.27
09-Jul-19,11626.45,11679.5,11553.45,11655.85,601945562,25198.4
10-Jul-19,11635.5,11688,11570.45,11593.8,517327104,20892.05
11-Jul-19,11655.4,11692.8,11613.05,11678.6,515459796,19568.64
12-Jul-19,11697.1,11738.85,11641.45,11654.85,522356896,20756.19
15-Jul-19,11712.65,11716.95,11634.65,11692.65,514667482,19583.3
16-Jul-19,11698.55,11778.55,11677.15,11773.15,659503243,20335.33
