Date,Open,High,Low,Close,Shares Traded,Turnover(₹ Cr)
30-Jan-19,4655.45,4672.5,4622,4661.4,286988119,4315.14
31-Jan-19,4681.6,4703.4,4627.35,4689.1,417982738,5959.51
01-Feb-19,4701.65,4764.1,4665.45,4719.85,327116573,5146.25
04-Feb-19,4710.7,4710.7,4640.25,4680.7,423822745,5572.67
05-Feb-19,4681.4,4707.9,4611.15,4632,583610482,5978.27
06-Feb-19,4629.05,4637.7,4561.05,4622.6,644282342,7063.55
07-Feb-19,4622.3,4683.55,4615.9,4658.25,642699268,5773.16
08-Feb-19,4640.95,4655.15,4560.1,4568.75,474671182,4689.41
11-Feb-19,4561.65,4564.55,4481.4,4492.1,320265395,4331.32
12-Feb-19,4497.4,4524.45,4483.65,4503.85,329310894,4348.95
13-Feb-19,4523.85,4536.45,4464.4,4476.65,301476161,3740.31
14-Feb-19,4468.45,4514.85,4450.65,4507,391170486,4397.02
15-Feb-19,4506.5,4506.5,4409.2,4445.25,305489553,4226.65
18-Feb-19,4448.1,4453.7,4401.9,4405.35,378700670,3822.88
19-Feb-19,4406.2,4473.1,4406.2,4429.25,307541980,3557.19
20-Feb-19,4451,4473.25,4432.7,4468.05,285620772,3794.26
21-Feb-19,4489.45,4520.25,4470.7,4512.65,378060240,4282.19
22-Feb-19,4512.55,4543.95,4508.55,4540.95,343902006,3754.77
25-Feb-19,4555.8,4573.5,4539.7,4564.7,270101910,3675.61
26-Feb-19,4524,4588.9,4458.6,4565.25,322586505,3976.92
27-Feb-19,4591.7,4653.85,4551.4,4583.05,312412241,4116.82
28-Feb-19,4602.7,4616.65,4568.7,4608.9,368449403,4438.91
01-Mar-19,4625.35,4700.2,4622.6,4697.25,484665990,4254.01
05-Mar-19,4703.35,4815.05,4695.4,4812.15,463878110,5089.89
06-Mar-19,4840.2,4868.55,4819.9,4847.25,435540525,5670.64
07-Mar-19,4861.7,4861.7,4812.8,4820.45,391970637,4636.27
